name,x,y,z
Ahmsord Citizen,1009,112,-4546
Ahmsord Citizen,1019,110,-4595
Ahmsord Citizen,1032,116,-4509
Ahmsord Citizen,1048,115,-4550
Ahmsord Citizen,1077,108,-4543
Almuj Citizen,906,68,-1950
Almuj Citizen,943,76,-2025
Almuj Citizen,962,76,-1936
Almuj Citizen,989,84,-1965
Avos Citizen,-1872,125,-3112
Avos Citizen,-1810,115,-3109
Bucie Citizen,-1401,44,-4709
Cinfras Citizen,-466,53,-4846
Cinfras Citizen,-463,47,-4884
Cinfras Citizen,-441,47,-4965
Cinfras Citizen,-441,47,-4899
Cinfras Citizen,-405,47,-4979
Cinfras Citizen,-385,47,-4945
Corkus Citizen,-1851,42,-3131
Corkus Citizen,-1848,42,-3131
Corkus Citizen,-1846,42,-3131
Corkus Citizen,-1832,45,-3066
Corkus Citizen,-1829,44,-3056
Corkus Citizen,-1828,44,-3059
Corkus Citizen,-1606,69,-2885
Corkus Citizen,-1597,74,-2903
Corkus Citizen,-1586,69,-2955
Corkus Citizen,-1562,76,-2777
Detlas Citizen,413,68,-1580
Detlas Citizen,452,68,-1518
Detlas Citizen,479,68,-1643
Detlas Citizen,535,68,-1586
Gelibord Citizen,-1035,47,-5313
Gelibord Citizen,-1018,47,-5290
Gelibord Citizen,-984,47,-5288
Kandon-Beda Citizen,747,150,-4454
Lexdale Citizen,-614,61,-5442
Lexdale Citizen,-608,61,-5437
Lexdale Citizen,-599,61,-5439
Llevigar Citizen,-2124,54,-4565
Llevigar Citizen,-2049,77,-4498
Llevigar Citizen,-1992,35,-4610
Llevigar Citizen,-1970,34,-4581
Llevigar Citizen,-1887,49,-4551
Llevigar Citizen,-1884,96,-4498
Lusuco Citizen,-420,177,-791
Lusuco Citizen,-328,200,-791
Lusuco Citizen,-213,47,-297
Lusuco Citizen,-176,54,-291
Lutho Citizen,972,75,-681
Lutho Citizen,975,75,-716
Lutho Citizen,1005,75,-697
Lutho Citizen,1014,78,-676
Maex Citizen,1482,45,-5305
Maltic Citizen,-556,47,-1946
Maltic Citizen,-549,49,-1925
Nemract Citizen,119,39,-2247
Nemract Citizen,122,41,-2180
Nemract Citizen,170,42,-2175
Nesaak Citizen,89,74,-808
Nesaak Citizen,127,74,-770
Olux Citizen,-1803,66,-5499
Olux Citizen,-1802,66,-5508
Olux Citizen,-1765,66,-5540
Olux Citizen,-1764,61,-5480
Olux Citizen,-1752,66,-5493
Olux Citizen,-1673,60,-5496
Relos Citizen,-1679,41,-2340
Relos Citizen,-1662,38,-2332
Relos Citizen,-1607,38,-2386
Rodoroc Citizen,1032,30,-5103
Rymek Citizen,1250,32,-1312
Rymek Citizen,1277,33,-1371
Rymek Citizen,1315,32,-1300
Selchar Citizen,23,67,-3199
Selchar Citizen,97,67,-3197
Selchar Citizen,119,67,-3175
Selchar Citizen,169,66,-3207
Thanos Citizen,141,10,-5282
Thanos Citizen,141,10,-5279
Thanos Citizen,176,7,-5215
Thanos Citizen,196,7,-5247
Thanos Citizen,204,31,-5244
Thanos Citizen,229,30,-5219
Thesead Citizen,738,79,-5180
Thesead Citizen,765,79,-5026
Thesead Citizen,770,79,-5065
Thesead Citizen,804,79,-5070
Thesead Citizen,838,94,-5039
Troms Citizen,-893,95,-1003
Troms Citizen,-862,77,-916
Troms Citizen,-843,95,-997
Troms Citizen,-843,77,-928
